bridge_id,bauwerksart_text,baustoffklasse,laenge,breite,baujahr,traffic_dtv_latest,traffic_dtv_mean,zustandsnote,zustandsnotenklasse,gis_ort,gis_kreis,gis_bundesland,geom_x,geom_y
5221556._3,Brücke als geschlossener Rahmen                                                 ,Beton/Stahlbeton,11.0,19.17,1937,55521.0,53859.40909090909,1.6,1.5  -  1.9,Alsfeld / Altenburg                               ,Vogelsbergkreis                                                                 ,HE,1032419.8874000012,6575783.810400002
5221556._4,Brücke als offener Rahmen                                                       ,Beton/Stahlbeton,11.73,2.25,1988,55521.0,53859.40909090909,1.2,1.0  -  1.4,Alsfeld / Altenburg                               ,Vogelsbergkreis                                                                 ,HE,1032419.8874000012,6575783.810400002
5221557._1,"Plattenbalkenbrücke, Trägerrostbrücke                                           ",Spannbeton,59.0,14.9,1989,55521.0,53859.40909090909,2.0,2.0  -  2.4,Alsfeld / Alsfeld                                 ,Vogelsbergkreis                                                                 ,HE,1031619.9221,6575449.794500001
5221557._2,"Plattenbalkenbrücke, Trägerrostbrücke                                           ",Spannbeton,59.0,14.9,1988,55521.0,53859.40909090909,1.9,1.5  -  1.9,Alsfeld / Alsfeld                                 ,Vogelsbergkreis                                                                 ,HE,1031619.9221,6575449.794500001
5221558._1,Brücke als offener Rahmen                                                       ,Beton/Stahlbeton,4.8,4.15,1989,55521.0,53859.40909090909,2.2,2.0  -  2.4,Alsfeld / Alsfeld                                 ,Vogelsbergkreis                                                                 ,HE,1029469.3031000012,6574800.8369999975
5221558._2,Brücke als offener Rahmen                                                       ,Beton/Stahlbeton,4.6,21.0,1937,55521.0,53859.40909090909,1.8,1.5  -  1.9,Alsfeld / Alsfeld                                 ,Vogelsbergkreis                                                                 ,HE,1029469.3031000012,6574800.8369999975
5221558._3,Brücke als offener Rahmen                                                       ,Beton/Stahlbeton,4.8,4.9,1989,55521.0,53859.40909090909,2.2,2.0  -  2.4,Alsfeld / Alsfeld                                 ,Vogelsbergkreis                                                                 ,HE,1029469.3031000012,6574800.8369999975
5234537._0,Plattenbrücke                                                                   ,Beton/Stahlbeton,9.05,11.2,1966,,,2.3,2.0  -  2.4,LENGEFELDSTR. IN RUDOLSTADT                       ,KREIS SAALFELD-RUDOLSTADT                                                       ,TH,1262425.8988000003,6572519.602600001
5221559._1,Brücke als geschlossener Rahmen                                                 ,Beton/Stahlbeton,2.7,4.6,1996,55521.0,53859.40909090909,2.0,2.0  -  2.4,Romrod / Romrod                                   ,Vogelsbergkreis                                                                 ,HE,1027436.0727999992,6573682.847900003
5221559._2,Gewölbe- bzw. Bogenbrücke                                                       ,Beton/Stahlbeton,3.45,28.8,1937,55521.0,53859.40909090909,1.8,1.5  -  1.9,Romrod / Romrod                                   ,Vogelsbergkreis                                                                 ,HE,1027436.0727999992,6573682.847900003
